,language,string,keywords,id,answertype,aggregation,onlydbo,hybrid,query.sparql,uri.type,uri.value,c.type,c.value,string.type,string.value,date.type,date.value
109,en,Who is the mayor of New York City?,"New York City, mayor",5,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri },uri,http://dbpedia.org/resource/Bill_de_Blasio,,,,,,
281,en,Which movies starring Brad Pitt were directed by Guy Ritchie?,"movies, starring, Brad Pitt, directed, Guy Ritchie",12,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Brad_Pitt ; dbo:director res:Guy_Ritchie },uri,http://dbpedia.org/resource/Snatch_(film),,,,,,
282,en,Give me the grandchildren of Bruce Lee.,"Bruce Lee, grandchildren",13,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Lee dbo:child ?child . ?child <http://dbpedia.org/property/children> ?uri },,,literal,1,,,,
283,en,Which other weapons did the designer of the Uzi develop?,"Uzi, designer, develop, weapon",14,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Weapon ; dbp:designer ?x . res:Uzi dbp:designer ?x FILTER ( ?uri != res:Uzi ) },uri,http://dbpedia.org/resource/Minebea_PM-9,,,,,,
284,en,Who is the owner of Universal Studios?,"Universal Studios, owner",15,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Universal_Studios dbo:owner ?uri },uri,http://dbpedia.org/resource/Comcast,,,,,,
285,en,Which state of the USA has the highest population density?,"state, USA, population density, highest",16,resource,False,False,False,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatStatesOfTheUnitedStates ; dbp:densityrank ?rank } ORDER BY ASC(?rank) LIMIT 1,uri,http://dbpedia.org/resource/New_Jersey,,,,,,
866,en,Who wrote the book The pillars of the Earth?,"wrote, book, The pillars of the Earth",21,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },uri,http://dbpedia.org/resource/Ken_Follett,,,,,,
867,en,Which state of the United States of America has the highest density?,"state, united, states, america, highest, density",22,resource,False,False,False,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX dbp: <http://dbpedia.org/property/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri dbp:densityrank ?density } ORDER BY ASC(?density) LIMIT 1,uri,http://dbpedia.org/resource/New_Jersey,,,,,,
978,en,How deep is Lake Placid?,"Lake Placid, depth",28,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Lake_Placid_(Texas)> dbo:maximumDepth ?n },,,literal,12.192,,,,
1108,en,Who is the tallest player of the Atlanta Falcons?,"Atlanta Falcons, player, tallest",31,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Atlanta_Falcons> ; <http://dbpedia.org/ontology/height> ?h } ORDER BY DESC(?h) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Matt_Schaub,,,,,,
5409,en,When was the Statue of Liberty built?,"Statue of Liberty, built",35,date,False,True,False,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Statue_of_Liberty> <http://dbpedia.org/property/beginningDate> ?date },,,,,,,literal,1886-10-28
5415,en,Who developed Minecraft?,"Minecraft, develop",37,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Minecraft> <http://dbpedia.org/ontology/developer> ?uri },uri,http://dbpedia.org/resource/Mojang,,,,,,
5627,en,Give me all Swiss non-profit organizations.,"Swiss, non-profit organization",42,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Switzerland> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Switzerland> } },uri,http://dbpedia.org/resource/Swiss_Medical_Students’_Association,,,,,,
5659,en,Where do the Red Sox play?,"where, Red Sox, play",45,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Boston_Red_Sox> <http://dbpedia.org/property/ballpark> ?uri },uri,http://dbpedia.org/resource/Fenway_Park,,,,,,
5718,en,What is the official color of the University of Oxford?,"University of Oxford, official color",49,string,False,True,False,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/University_of_Oxford> <http://dbpedia.org/ontology/officialSchoolColour> ?string },,,,,literal,Oxford blue,,
5719,en,How many films did Hal Roach produce?,"Hal Roach, produce, film",50,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/producer> <http://dbpedia.org/resource/Hal_Roach> },,,literal,530,,,,
5840,en,What is the most frequent cause of death?,"cause of death, most frequent",52,resource,True,True,False,SELECT DISTINCT ?x WHERE { ?uri <http://dbpedia.org/ontology/deathCause> ?x . } ORDER BY DESC(COUNT(DISTINCT ?uri)) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Myocardial_infarction,,,,,,
5984,en,Give me the capitals of all countries that the Himalayas run through.,"countries Himalayas run through, capitals",55,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?country . ?country <http://dbpedia.org/ontology/capital> ?uri },uri,http://dbpedia.org/resource/Thimphu,,,,,,
5985,en,How many movies did Park Chan-wook direct?,"how many movies, directed, Park Chan-wook",56,number,True,True,False,SELECT COUNT(DISTINCT ?uri AS ?uri) WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Park_Chan-wook> . },,,literal,15,,,,
6023,en,How many airlines are there?,"how many, airlines",58,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> },,,literal,4262,,,,
6112,en,How many inhabitants does Maribor have?,"Maribor, inhabitants",60,number,False,True,False,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Maribor> <http://dbpedia.org/ontology/populationTotal> ?num },,,literal,95881,,,,
6833,en,What is the highest place of the Urals?,"Urals, highest place",65,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ural_Mountains> <http://dbpedia.org/property/highest> ?uri },uri,http://dbpedia.org/resource/Mount_Narodnaya,,,,,,
6834,en,Who is the governor of Wyoming?,"governor, Wyoming",66,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyoming> <http://dbpedia.org/property/governor> ?uri },uri,http://dbpedia.org/resource/Matt_Mead,,,,,,
6835,en,Where did the architect of the Eiffel Tower study?,"architect, Eiffel Tower, study",67,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eiffel_Tower> <http://dbpedia.org/ontology/architect> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri },uri,http://dbpedia.org/resource/École_Spéciale_d'Architecture,,,,,,
7057,en,Give me all Australian nonprofit organizations.,"nonprofit organization, Australia",71,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/type> <http://dbpedia.org/resource/Nonprofit_organization> { ?uri <http://dbpedia.org/ontology/locationCountry> <http://dbpedia.org/resource/Australia> } UNION { ?uri <http://dbpedia.org/ontology/location> ?x . ?x <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Australia> } },uri,http://dbpedia.org/resource/YourView,,,,,,
7058,en,Which pope succeeded John Paul II?,"pope, succeed, John Paul II",72,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pope_John_Paul_II> <http://dbpedia.org/property/successor> ?uri },uri,http://dbpedia.org/resource/Pope_Benedict_XVI,,,,,,
7059,en,Give me all ESA astronauts.,ESA astronauts,73,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency> },uri,http://dbpedia.org/resource/Dirk_Frimout,,,,,,
7060,en,Who was president of Pakistan in 1978?,"president, Pakistan, 1978",74,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/title> <http://dbpedia.org/resource/President_of_Pakistan> ; <http://dbpedia.org/property/years> 1978 },uri,http://dbpedia.org/resource/Muhammad_Zia-ul-Haq,,,,,,
7099,en,Show me everyone who was born on Halloween.,"person, born on, Halloween",79,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> { ?uri <http://dbpedia.org/ontology/birthDate> ?date } UNION { ?uri <http://dbpedia.org/property/birthDate> ?date } <http://dbpedia.org/resource/Halloween> <http://dbpedia.org/property/date> ?date },uri,http://dbpedia.org/resource/Aaron_Osmond,,,,,,
7100,en,Which beer originated in Ireland?,"beer, originated, Ireland",80,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> },uri,http://dbpedia.org/resource/Guinness,,,,,,
7101,en,To which countries does the Himalayan mountain system extend?,"Himalayan mountain system, extend, country",81,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Himalayas> <http://dbpedia.org/ontology/country> ?uri },uri,http://dbpedia.org/resource/Bhutan,,,,,,
7138,en,How much carbs does peanut butter have?,"how much, carbs, peanut butter",83,number,False,True,False,SELECT DISTINCT ?carbs WHERE { <http://dbpedia.org/resource/Peanut_butter> <http://dbpedia.org/property/carbs> ?carbs },,,literal,20.0,,,,
7139,en,Who produced the most films?,"film, produced, most",84,resource,True,True,False,SELECT DISTINCT ?uri WHERE { ?film <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?film <http://dbpedia.org/ontology/producer> ?uri . } ORDER BY DESC(COUNT(?film)) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Adolph_Zukor,,,,,,
7140,en,How many employees does Google have?,"Google, employees",85,number,False,True,False,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/numberOfEmployees> ?num },,,literal,57100,,,,
7154,en,When was Alberta admitted as province?,"Alberta, admit, province",89,date,False,True,False,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Alberta> <http://dbpedia.org/property/admittancedate> ?date },,,,,,,literal,1905-09-01
7155,en,How many missions does the Soyuz programme have?,"how many, mission, Soyuz programme",90,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/property/programme> <http://dbpedia.org/resource/Soyuz_programme> },,,literal,139,,,,
7168,en,When were the Hells Angels founded?,"Hells Angels, founded",92,date,False,True,False,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Hells_Angels> <http://dbpedia.org/property/founded> ?date },,,,,,,literal,1948-03-17
7169,en,What is the net income of Apple?,"net income, Apple",93,number,False,True,False,SELECT DISTINCT ?ni WHERE { <http://dbpedia.org/resource/Apple_Inc.> <http://dbpedia.org/ontology/netIncome> ?ni },,,literal,5.3394E10,,,,
7174,en,In which city was the former Dutch queen Juliana buried?,"Dutch queen Juliana, burried, city",95,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juliana_of_the_Netherlands> <http://dbpedia.org/property/burialPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Settlement> },uri,http://dbpedia.org/resource/Delft,,,,,,
7183,en,Give me all companies in the advertising industry.,"company, advertising industry",97,number,True,True,False,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Company> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Advertising> } UNION { ?uri <http://dbpedia.org/ontology/industry> ?industry FILTER regex(?industry, ""advertising"", ""i"") } }",,,literal,307,,,,
7184,en,What is the largest metropolitan area in Washington state?,"largest metropolitan area, Washington state",98,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Washington_(state)> <http://dbpedia.org/property/largestmetro> ?uri },uri,"http://dbpedia.org/resource/Seattle-Tacoma-Olympia,_WA_CSA",,,,,,
7185,en,Who killed John Lennon?,"killed, John Lennon",99,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/property/conviction> <http://dbpedia.org/resource/Death_of_John_Lennon> },uri,http://dbpedia.org/resource/Mark_David_Chapman,,,,,,
7327,en,What was Brazil's lowest rank in the FIFA World Ranking?,"Brazil, lowest rank, FIFA World Ranking",105,number,False,True,False,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Brazil_national_football_team> <http://dbpedia.org/property/fifaMin> ?n },,,literal,22,,,,
7328,en,How many films did Leonardo DiCaprio star in?,"film, star, Leonardo DiCaprio",106,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Leonardo_DiCaprio> },,,literal,27,,,,
7421,en,Which country has the most official languages?,"country, official language, most",110,resource,True,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/property/officialLanguages> ?language . } ORDER BY DESC(COUNT(?language)) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Sark,,,,,,
7422,en,What is the total amount of men and women serving in the FDNY?,"total amount, men, women, serve, FDNY",111,number,False,True,False,SELECT DISTINCT ?num WHERE { <http://dbpedia.org/resource/New_York_City_Fire_Department> <http://dbpedia.org/property/employees> ?num },,,literal,15629,,,,
7455,en,In which U.S. state is Mount McKinley located?,"U.S. state, located, Mount McKinley",115,resource,False,False,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mount_McKinley> dbo:wikiPageRedirects ?x . ?x <http://dbpedia.org/ontology/locatedInArea> ?uri. ?uri rdf:type yago:WikicatStatesOfTheUnitedStates },uri,http://dbpedia.org/resource/Alaska,,,,,,
7607,en,What is the highest mountain?,"mountain, highest",120,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Kings_Peak_(Idaho),,,,,,
7608,en,Which poet wrote the most books?,"poet, most, books",121,resource,True,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Poet> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Jules_Verne,,,,,,
7618,en,Which musician wrote the most books?,"musician, wrote, the most books",123,resource,True,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/occupation> <http://dbpedia.org/resource/Musician> . ?x <http://dbpedia.org/ontology/author> ?uri . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> . } ORDER BY DESC(COUNT(?x)) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Jo_Nesbø,,,,,,
7855,en,How many airlines are members of the Star Alliance?,"how many, airlines, member, Star Alliance",127,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> },,,literal,97,,,,
7861,en,Who wrote The Hunger Games?,"wrote, Hunger Games",129,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Hunger_Games> <http://dbpedia.org/property/author> ?uri },uri,http://dbpedia.org/resource/Suzanne_Collins,,,,,,
7862,en,For which label did Elvis record his first album?,"Elvis, first, album, label",130,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?x rdf:type dbo:Album ; dbo:artist res:Elvis_Presley ; dbo:releaseDate ?y ; dbo:recordLabel ?uri } ORDER BY ASC(?y) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Pickwick_Records,,,,,,
7863,en,Where is the residence of the prime minister of Spain?,"prime minister, Spain, residence",132,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri },uri,http://dbpedia.org/resource/Palacio_de_la_Moncloa,,,,,,
7864,en,Which actor was casted in the most movies?,"actor, casted, most movies",133,resource,True,True,False,SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?f <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> . ?f <http://dbpedia.org/ontology/starring> ?uri . } ORDER BY DESC(COUNT(DISTINCT(?f))) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Andy_Lau,,,,,,
7926,en,When did Latvia join the EU?,"Latvia, join, EU",138,date,False,True,False,SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date },,,,,,,literal,2004-05-01
8042,en,How many politicians graduated from Columbia University?,"how many, politicians, graduated, Columbia University",140,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri <http://dbpedia.org/ontology/profession> <http://dbpedia.org/resource/Politician> ; <http://dbpedia.org/ontology/almaMater> <http://dbpedia.org/resource/Columbia_University> },,,literal,12,,,,
8061,en,Which telecommunications organizations are located in Belgium?,"telecommunications organization, located, Belgium",142,number,True,True,False,"SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Organisation> { ?uri <http://dbpedia.org/ontology/industry> <http://dbpedia.org/resource/Telecommunication> } UNION { ?uri <http://dbpedia.org/property/industry> ?industry FILTER regex(?industry, ""Telecommunications"") } { ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Belgium> } UNION { ?uri <http://dbpedia.org/property/locationCountry> ""Belgium""@en } }",,,literal,7,,,,
8067,en,How many children does Eddie Murphy have?,"children, Eddie Murphy",144,number,False,True,False,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Eddie_Murphy> <http://dbpedia.org/property/children> ?n },,,literal,9,,,,
8086,en,Who is the manager of Real Madrid?,"manager, Real Madrid",146,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Real_Madrid_C.F.> <http://dbpedia.org/ontology/manager> ?uri },uri,http://dbpedia.org/resource/Zinedine_Zidane,,,,,,
10252,en,What is the longest river?,"river, longest",149,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/River> { ?uri <http://dbpedia.org/ontology/length> ?l } UNION { ?uri <http://dbpedia.org/property/length> ?l } } ORDER BY DESC(?l) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Irtysh_River,,,,,,
10631,en,What is the birth name of Angela Merkel?,"birth name, Angela Merkel",151,string,False,True,False,SELECT DISTINCT ?string WHERE { <http://dbpedia.org/resource/Angela_Merkel> <http://dbpedia.org/property/birthName> ?string },,,,,literal,Angela Dorothea Kasner,,
10648,en,What is the smallest city by area in Germany?,"smallest, city, Germany",154,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dct: <http://purl.org/dc/terms/> SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1,uri,http://dbpedia.org/resource/Eckernförde,,,,,,
10649,en,What is the ruling party in Lisbon?,"Lisbon, ruling party",155,resource,False,True,False,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lisbon> <http://dbpedia.org/property/leaderParty> ?uri },uri,http://dbpedia.org/resource/Socialist_Party_(Portugal),,,,,,
10650,en,How heavy is Jupiter's lightest moon?,"how heavy, Jupiter, moon, lightest",156,number,False,True,False,SELECT DISTINCT ?n WHERE { ?uri <http://dbpedia.org/property/satelliteOf> <http://dbpedia.org/resource/Jupiter> ; <http://dbpedia.org/ontology/mass> ?n } ORDER BY ASC(?n) OFFSET 0 LIMIT 1,,,literal,1100.0,,,,
10651,en,How many employees does IBM have?,"IBM, employees",157,number,False,True,False,SELECT DISTINCT ?number WHERE { <http://dbpedia.org/resource/IBM> <http://dbpedia.org/ontology/numberOfEmployees> ?number },,,literal,377757,,,,
10665,en,What does ICRO stand for?,"ICRO, stand for",159,resource,False,True,False,"SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/abbreviation> ""ICRO"" }",uri,http://dbpedia.org/resource/Irish_Cave_Rescue_Organisation,,,,,,
11250,en,What is the second highest mountain on Earth?,"mountain, second highest",165,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Mountain> ; <http://dbpedia.org/ontology/elevation> ?elevation } ORDER BY DESC(?elevation) OFFSET 1 LIMIT 1,uri,http://dbpedia.org/resource/Y_Ro_Wen,,,,,,
11289,en,How many programming languages are there?,"how many, programming languages",168,number,True,True,False,SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/ProgrammingLanguage> },,,literal,2031,,,,
11422,en,In which U.S. state is Fort Knox located?,"Fort Knox, located, U.S. state",172,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { res:Fort_Knox dbo:location ?uri . ?uri dbo:country res:United_States },uri,http://dbpedia.org/resource/Kentucky,,,,,,
