,language,string,keywords,id,answertype,aggregation,onlydbo,hybrid,query.sparql,uri.type,uri.value,c.type,c.value,string.type,string.value,date.type,date.value
12272,en,Who is the heaviest player of the Chicago Bulls?,"heaviest player, Chicago Bulls",186,resource,False,True,False,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Person> ; <http://dbpedia.org/ontology/weight> ?num { ?uri <http://dbpedia.org/property/team> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/property/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } UNION { ?uri <http://dbpedia.org/ontology/draftTeam> <http://dbpedia.org/resource/Chicago_Bulls> } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Roberto_Dueñas,,,,,,
12281,en,What is the largest country in the world?,"largest country, world",188,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Country ; dbo:areaTotal ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Organization_for_Security_and_Co-operation_in_Europe,,,,,,
12282,en,What is the largest city in america?,"largest, city, america",189,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?lcity WHERE { dbr:United_States dbo:largestCity ?lcity },uri,http://dbpedia.org/resource/New_York_City,,,,,,
12283,en,Who was the pope that founded the Vatican Television?,"pope, founded, Vatican Television",190,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri rdf:type dbo:Pope . res:Vatican_Television_Center dbo:foundedBy ?uri },uri,http://dbpedia.org/resource/Pope_John_Paul_II,,,,,,
12284,en,Who discovered Ceres?,"discoverer, Ceres",191,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> dbo:discoverer ?uri },uri,http://dbpedia.org/resource/Giuseppe_Piazzi,,,,,,
12285,en,Who is the king of the Netherlands?,"king, the Netherlands",192,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Netherlands dbo:leader ?uri . ?uri rdf:type dbo:Royalty },uri,http://dbpedia.org/resource/Willem-Alexander_of_the_Netherlands,,,,,,
12286,en,What is the alma mater of the chancellor of Germany Angela Merkel?,Angela Merkel,194,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Almamater WHERE { dbr:Angela_Merkel dbo:almaMater ?Almamater },uri,http://dbpedia.org/resource/Leipzig_University,,,,,,
12287,en,Who wrote the book Les Piliers de la terre?,"wrote, book, The pillars of the Earth",195,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:The_Pillars_of_the_Earth dbo:author ?uri },uri,http://dbpedia.org/resource/Ken_Follett,,,,,,
12302,en,What is the highest mountain in Saxony Germany?,"highest, mountain, Saxony, Germany",201,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?m WHERE { ?m dbo:mountainRange dbr:Ore_Mountains ; dbo:elevation ?height } ORDER BY DESC(?height) LIMIT 1,uri,http://dbpedia.org/resource/Fichtelberg,,,,,,
12303,en,Who is the current federal minister of finance in Germany?,"federal minister of finance, germany",202,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT ?leader WHERE { <http://dbpedia.org/resource/Federal_Ministry_of_Finance_(Germany)> dbo:leader ?leader },uri,http://dbpedia.org/resource/Wolfgang_Schäuble,,,,,,
12304,en,In which country is Mecca located?,"country, located, Mecca",203,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Mecca dbo:country ?uri },uri,http://dbpedia.org/resource/Saudi_Arabia,,,,,,
12305,en,Who played Gus Fring in Breaking Bad?,"play, Gus Fring, Breaking Bad",204,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Gus_Fring dbo:portrayer ?uri },uri,http://dbpedia.org/resource/Giancarlo_Esposito,,,,,,
12308,en,In which state Penn State University is located?,Penn State University,206,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?s WHERE { dbr:Pennsylvania_State_University dbo:state ?s },uri,http://dbpedia.org/resource/Pennsylvania,,,,,,
12309,en,What is the biggest stadium in Spain?,"biggest stadium, Spain",207,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Vicente_Calderón_Stadium,,,,,,
12310,en,Who is the coach of Ankara's ice hockey team?,"coach, ice hockey team, Ankara",208,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:city res:Ankara ; dbo:league res:Turkish_Ice_Hockey_First_League ; dbo:coach ?uri },uri,http://dbpedia.org/resource/İbrahim_Oğuz,,,,,,
12311,en,How large is the area of UK?,"area, UK",209,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area },,,literal,2.42495e+11,,,,
12348,en,how much is the elevation of Düsseldorf Airport ?,Düsseldorf Airport,216,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ele WHERE { dbr:Düsseldorf_Airport dbo:elevation ?ele } LIMIT 1,,,literal,44.8,,,,
12349,en,How much is the population of mexico city ?,mexico city,217,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Mexico_City WHERE { dbr:Mexico_City dbo:populationTotal ?Mexico_City },,,literal,8918653,,,,
12350,en,when was the founding date of french fifth republic?,french fifth republic,218,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?ff WHERE { dbr:French_Fifth_Republic dbo:foundingDate ?ff },,,,,,,literal,1958-10-04
12351,en,Who was the first King of England?,first King of England,219,resource,False,False,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Royalty ; rdf:type yago:WikicatEnglishMonarchs ; dbo:activeYearsStartYear ?date } ORDER BY ASC(?date) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Harold_Godwinson,,,,,,
12352,en,Who is the editor of Forbes?,"Forbes, editor",220,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Forbes dbo:editor ?uri },uri,http://dbpedia.org/resource/Steve_Forbes,,,,,,
12356,en,Who is the youngest Darts player?,"Darts player, youngest",222,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:DartsPlayer ; dbo:birthDate ?date } ORDER BY DESC(?date) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Max_Hopp,,,,,,
12357,en,Which river does the Brooklyn Bridge cross?,"river, cross, Brooklyn Bridge",224,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Brooklyn_Bridge dbo:crosses ?uri },uri,http://dbpedia.org/resource/East_River,,,,,,
12358,en,How many people live in Poland?,"How many people, Poland",225,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Poland dbo:populationTotal ?uri },,,literal,38483957,,,,
12359,en,When was the last episode of the TV series Friends aired?,"last episode, Friends Tv show",226,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?date WHERE { dbr:Friends dbo:completionDate ?date },,,,,,,literal,2004-05-06
12362,en,how much is the total population of  european union?,european union,230,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?europop WHERE { dbr:European_Union dbo:populationTotal ?europop },,,literal,510056011,,,,
12370,en,Who developed the video game World of Warcraft?,"video game, World of Warcraft, develop",232,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:World_of_Warcraft dbo:developer ?uri },uri,http://dbpedia.org/resource/Blizzard_Entertainment,,,,,,
12371,en,What is the birth name of Adele?,Adele,233,string,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?bn WHERE { dbr:Adele dbo:birthName ?bn },,,,,literal,Adele Laurie Blue Adkins,,
12372,en,What is the population of Cairo?,"population, Cairo",234,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pop WHERE { dbr:Cairo dbo:populationTotal ?pop },,,literal,10230350,,,,
12373,en,What is the last work of Dan Brown?,"last work, Dan Brown",236,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbp: <http://dbpedia.org/property/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?book WHERE { { ?book dbo:author dbr:Dan_Brown . ?book dbp:releaseDate ?date } UNION { ?book dbo:author dbr:Dan_Brown . ?book dbo:publicationDate ?date} } ORDER BY DESC(xsd:date(?date)) LIMIT 1,uri,http://dbpedia.org/resource/Inferno_(Brown_novel),,,,,,
12374,en,Where is Sungkyunkwan University?,"Sungkyunkwan, University",237,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country },uri,http://dbpedia.org/resource/South_Korea,,,,,,
12375,en,Who is the author of the interpretation of dreams?,"Interpretation of Dreams, Author",238,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?Author WHERE { dbr:The_Interpretation_of_Dreams dbo:author ?Author },uri,http://dbpedia.org/resource/Sigmund_Freud,,,,,,
12376,en,When was the death  of  Shakespeare?,Shakespeare,239,date,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?x WHERE { dbr:William_Shakespeare dbo:deathDate ?x } LIMIT 1,,,,,,,literal,1616-04-23
12377,en,Who developed Slack?,"developer, Slack",241,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri dbo:product <http://dbpedia.org/resource/Slack_(software)> },uri,http://dbpedia.org/resource/Slack_Technologies,,,,,,
12378,en,Where is the origin of Carolina reaper?,Carolina reaper,242,uri,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/>PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:Carolina_Reaper dbo:origin ?uri},uri,"http://dbpedia.org/resource/Fort_Mill,_South_Carolina",,,,,,
12379,en,In which year was Rachel Stevens born?,"year, born, Rachel Stevens",243,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rachel_Stevens dbo:birthYear ?uri },,,literal,1978,,,,
12380,en,How often did Jane Fonda marry?,"Jane Fonda, marry, how often",244,number,True,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { res:Jane_Fonda dbo:spouse ?uri },,,literal,3,,,,
12390,en,Which university did Angela Merkel attend?,"university, Angela Merkel",248,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?university WHERE { res:Angela_Merkel dbo:almaMater ?university },uri,http://dbpedia.org/resource/Leipzig_University,,,,,,
12396,en,How many Aldi stores are there?,"own, Aldi",250,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?number WHERE { res:Aldi dbo:numberOfLocations ?number },,,literal,9600,,,,
12397,en,What is the longest river in the world?,"longest river, world",251,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT ?uri WHERE { ?uri rdf:type dbo:BodyOfWater ; dbo:length ?length } ORDER BY DESC(?length) LIMIT 1,uri,http://dbpedia.org/resource/Irtysh_River,,,,,,
12403,en,Who was the wife of U.S. president Lincoln?,"U.S. president, Lincoln, wife",254,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:spouse ?uri },uri,http://dbpedia.org/resource/Mary_Todd_Lincoln,,,,,,
12404,en,Which species does an elephant belong?,"species, elephant",255,string,False,True,False,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?species WHERE { dbr:Elephant dbp:species ?species },,,,,literal,Proboscidea,,
12405,en,How many people live in the capital of Australia?,"Australia, capital, people, live",256,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num },,,literal,381488,,,,
12406,en,In which ancient empire could you pay with cocoa beans?,"ancient empire, pay, cocoa beans",257,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?uri dbo:currency res:Cocoa_bean },uri,http://dbpedia.org/resource/Aztec_Empire,,,,,,
12407,en,How many theories did Albert Einstein come up with?,"theories, Albert Einstein, come up",258,number,True,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT (COUNT(?uri) AS ?count) WHERE { dbr:Albert_Einstein dbo:knownFor ?uri },,,literal,12,,,,
12408,en,Who composed the soundtrack for Cameron's Titanic?,"compose, soundtrack, Cameron's Titanic",259,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> dbo:musicComposer ?uri },uri,http://dbpedia.org/resource/James_Horner,,,,,,
12409,en,Give me the runtime of Toy Story.,"runtime, Toy Story",260,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?runtime WHERE { res:Toy_Story dbo:runtime ?runtime },,,literal,4860.0,,,,
12418,en,Which electronics companies were founded in Beijing?,"electronics companies, founded, Beijing",263,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company ; dbo:industry res:Electronics ; dbo:foundationPlace res:Beijing },uri,http://dbpedia.org/resource/Lenovo,,,,,,
12422,en,Who is the mayor of Paris?,mayor of Paris,265,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Paris dbo:mayor ?uri },uri,http://dbpedia.org/resource/Anne_Hidalgo,,,,,,
12423,en,Which Indian company has the most employees?,"Indian company, the most employees",269,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Company ; dbo:location res:India ; dbo:numberOfEmployees ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Railway_Board,,,,,,
12424,en,Who was John F. Kennedy's vice president?,"John F. Kennedy, vice president",270,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:John_F._Kennedy dbo:vicePresident ?uri },uri,http://dbpedia.org/resource/Lyndon_B._Johnson,,,,,,
12425,en,Which country does the creator of Miffy come from?,"Miffy, creator, country",271,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Miffy dbo:creator ?x . ?x dbo:nationality ?uri },uri,http://dbpedia.org/resource/Netherlands,,,,,,
12426,en,In what city is the Heineken brewery?,"city, Heineken brewery",273,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Heineken dbo:manufacturer ?x . ?x dbo:locationCity ?uri },uri,http://dbpedia.org/resource/Amsterdam,,,,,,
12433,en,how big is the total area of North Rhine- Westphalia?,Nord Rhine Westphalia,278,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?tarea WHERE { dbr:North_Rhine-Westphalia dbo:areaTotal ?tarea },,,literal,3.40841e+10,,,,
12434,en,Which city has the most inhabitants?,"city, the most inhabitants",279,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City ; dbo:populationTotal ?pop } ORDER BY DESC(?pop) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Carei,,,,,,
12439,en,When will start the final match of the football world cup 2018?,football world cup 2018,281,date,False,True,False,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?Date WHERE { dbr:2018_FIFA_World_Cup dbp:date ?Date } ORDER BY DESC(?Date) LIMIT 1,,,,,,,literal,2018-07-15
12456,en,how much is the population  Iraq?,Iraq,283,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?pIraq WHERE { dbr:Iraq dbo:populationTotal ?pIraq },,,literal,37056169,,,,
12457,en,How many inhabitants does the largest city in Canada have?,"inhabitants, largest city, Canada",284,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Canada dbo:largestCity ?city . ?city dbo:populationTotal ?num },,,literal,2615060,,,,
12458,en,Who is the mayor of the capital of French Polynesia?,"mayor, capital, French Polynesia",285,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:French_Polynesia dbo:capital ?x . ?x dbo:mayor ?uri },uri,http://dbpedia.org/resource/Michel_Buillard,,,,,,
12477,en,How tall is Claudia Schiffer?,"Claudia Schiffer, tall",287,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height },,,literal,1.81,,,,
12478,en,how much is the population densty rank of germany?,Germany,288,number,False,True,False,PREFIX dbr: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT ?rank WHERE { dbr:Germany dbp:populationDensityRank ?rank },,,literal,58,,,,
12479,en,What is the highest mountain in Italy?,"highest, mountain, Italy",289,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Mountain ; dbo:locatedInArea res:Italy ; dbo:elevation ?num } ORDER BY DESC(?num) OFFSET 0 LIMIT 1,uri,http://dbpedia.org/resource/Mont_Blanc,,,,,,
12488,en,What is the official language of Suriname?,"Suriname, official language",291,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Suriname dbo:officialLanguage ?uri },uri,http://dbpedia.org/resource/Dutch_language,,,,,,
12489,en,In which city did Nikos Kazantzakis die?,"city, Nikos Kazantzakis, die",292,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { res:Nikos_Kazantzakis dbo:deathPlace ?uri . ?uri rdf:type dbo:Town },uri,http://dbpedia.org/resource/Freiburg_im_Breisgau,,,,,,
12500,en,In which country is the Limerick Lake?,"Limerick Lake, country",294,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Limerick_Lake dbo:country ?uri },uri,http://dbpedia.org/resource/Canada,,,,,,
12506,en,In which time zone is Rome?,"time zone, Rome",297,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rome dbo:timeZone ?uri },uri,http://dbpedia.org/resource/Central_European_Time,,,,,,
12507,en,How high is the lighthouse in Colombo?,"high, lighthouse in Colombo",298,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Colombo_Lighthouse dbo:height ?num },,,literal,15.0,,,,
12513,en,Who is the mayor of Rotterdam?,"mayor, Rotterdam",300,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Rotterdam dbo:leaderName ?uri },uri,http://dbpedia.org/resource/Ahmed_Aboutaleb,,,,,,
12514,en,What is the largest city in Australia?,"Australia, largest city",301,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Australia dbo:largestCity ?uri },uri,http://dbpedia.org/resource/Sydney,,,,,,
12515,en,Who was married to president Chirac?,"married to, president Chirac",302,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri },uri,http://dbpedia.org/resource/Bernadette_Chirac,,,,,,
12516,en,What form of government is found in South Africa?,"form, government, South Africa",303,resource,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?uri WHERE { dbr:South_Africa dbo:governmentType ?uri },uri,http://dbpedia.org/resource/Unitary_state,,,,,,
12517,en,How high is the Yokohama Marine Tower?,"height, Yokohama Marine Tower",304,number,False,True,False,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Yokohama_Marine_Tower dbo:height ?num },,,literal,106.07,,,,
